# Conway's Game of Life Section
# Pattern: Max Spacefiller (CORRECTED VERSION)
# Size: 27x27
# Format: x,y (relative coordinates)  
# Description: The smallest known spacefiller pattern by Tim Coe (1995)
# This pattern fills space with zebra stripes at maximum possible speed c/2
# Population: 187 cells
# IMPORTANT: This pattern grows VERY rapidly - ensure large empty space around it!
0,7
0,8
0,9
0,13
0,14
0,15
1,7
1,10
1,12
1,15
1,18
2,7
2,15
2,18
2,19
2,20
2,21
3,7
3,15
3,19
3,20
3,21
4,8
4,10
4,12
4,19
4,23
5,8
5,9
5,10
5,12
5,13
5,14
5,21
5,22
6,9
6,13
6,19
6,24
7,8
7,9
7,10
7,11
7,12
7,20
7,21
7,22
7,23
7,24
7,25
8,26
9,7
9,8
9,11
9,14
9,15
9,20
9,21
9,25
10,4
10,5
10,11
10,16
10,19
10,22
10,23
11,3
11,7
11,10
11,12
11,15
11,16
11,21
11,23
12,2
12,6
12,13
12,18
12,22
12,24
13,2
13,3
13,9
13,10
13,11
13,13
13,16
13,17
13,18
13,24
14,2
14,3
14,4
14,8
14,10
14,13
14,20
14,24
15,2
15,3
15,5
15,11
15,12
15,16
15,17
15,19
15,23
16,4
16,7
16,12
16,14
16,19
16,21
16,22
17,1
17,3
17,5
17,6
17,11
17,12
17,17
17,19
18,0
18,1
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,12
19,14
19,16
19,17
19,18
20,1
20,7
20,13
20,17
21,3
21,4
21,5
21,12
21,16
21,18
22,3
22,7
22,14
22,16
23,5
23,6
23,7
23,11
23,19
24,5
24,6
24,8
24,11
24,19
25,8
25,11
25,14
25,16
25,19
26,11
26,12
26,13
26,17
26,18
26,19
